date,ra,case_cnt
,outros_estados,1
2020-02-26,lago_sul,1
2020-02-28,taguatinga,1
2020-02-29,sao_sebastiao,1
2020-03-01,guara,2
2020-03-01,lago_norte,1
2020-03-01,plano_piloto,3
2020-03-01,samambaia,3
2020-03-01,sobradinho,1
2020-03-01,taguatinga,2
2020-03-01,aguas_claras,3
2020-03-02,ceilandia,1
2020-03-02,lago_sul,1
2020-03-02,outros_estados,1
2020-03-02,plano_piloto,1
2020-03-02,samambaia,1
2020-03-02,sobradinho,1
2020-03-02,taguatinga,1
2020-03-02,vicente_pires,1
2020-03-03,lago_sul,1
2020-03-03,sudoeste_octogonal,1
2020-03-04,gama,1
2020-03-04,plano_piloto,1
2020-03-05,gama,1
2020-03-05,guara,1
2020-03-05,lago_sul,1
2020-03-05,outros_estados,1
2020-03-05,plano_piloto,1
2020-03-05,sao_sebastiao,1
2020-03-05,aguas_claras,1
2020-03-06,brazlandia,1
2020-03-06,gama,1
2020-03-06,lago_sul,1
2020-03-06,outros_estados,1
2020-03-06,plano_piloto,1
2020-03-06,samambaia,1
2020-03-06,sobradinho,1
2020-03-06,sudoeste_octogonal,1
2020-03-06,taguatinga,1
2020-03-07,guara,2
2020-03-07,lago_norte,1
2020-03-07,plano_piloto,2
2020-03-07,riacho_fundo,1
2020-03-07,aguas_claras,2
2020-03-08,cruzeiro,1
2020-03-08,lago_sul,1
2020-03-08,samambaia,1
2020-03-08,sobradinho,1
2020-03-08,aguas_claras,3
2020-03-09,gama,1
2020-03-09,guara,1
2020-03-09,lago_sul,2
2020-03-09,nucleo_bandeirante,1
2020-03-09,plano_piloto,3
2020-03-09,santa_maria,1
2020-03-09,sudoeste_octogonal,1
2020-03-09,sao_sebastiao,1
2020-03-09,aguas_claras,4
2020-03-10,ceilandia,3
2020-03-10,cruzeiro,2
2020-03-10,guara,3
2020-03-10,lago_norte,1
2020-03-10,lago_sul,3
2020-03-10,outros_estados,1
2020-03-10,park_way,1
2020-03-10,planaltina,3
2020-03-10,plano_piloto,3
2020-03-10,por_do_sol,1
2020-03-10,riacho_fundo,1
2020-03-10,samambaia,2
2020-03-10,sistema_penitenciario,1
2020-03-10,sudoeste_octogonal,2
2020-03-10,sao_sebastiao,2
2020-03-10,taguatinga,1
2020-03-10,aguas_claras,2
2020-03-11,cruzeiro,1
